tvpr_weight,窗口,Sharpe,Calmar,年化,MaxDD,总收益,胜率,ann_vol,final_nav,n_periods
0.0,v9 (M),0.7653037671240922,0.522591861785085,0.0559550997460673,-0.1070722753984998,0.2951375551468527,0.540650406504065,,,
0.1,v9 (M),0.7577465810559517,0.5078723985147956,0.055292605917002,-0.1088710591059837,0.2912824608853237,0.540650406504065,,,
0.2,v9 (M),0.7401833260723291,0.494276528318407,0.055518419002899,-0.1123225883126189,0.2925954626722797,0.540650406504065,,,
0.3,v9 (M),0.7362625827463884,0.4896890117148761,0.0551667339188952,-0.1126566710690587,0.2905510288709587,0.5365853658536586,,,
0.4,v9 (M),0.748140020706279,0.490937488359785,0.0561154906182093,-0.1143027207103094,0.296072244700202,0.540650406504065,,,
0.5,v9 (M),0.7670666258887436,0.4957320549752196,0.0575460355273709,-0.1160829422867308,0.3044324294016582,0.540650406504065,,,
0.6,v9 (M),0.7639562556235366,0.4860703879358385,0.0572888325579199,-0.1178611863216034,0.3029261905402136,0.540650406504065,,,
0.7,v9 (M),0.7590876029031013,0.4755311723235982,0.056891373369865,-0.1196375267931973,0.3006012802359639,0.540650406504065,,,
0.8,v9 (M),0.7539908560737014,0.4652753779462871,0.0564910777483531,-0.1214142858745357,0.2982630899299416,0.540650406504065,,,
0.9,v9 (M),0.748669659452666,0.4552897309970585,0.0560878213402014,-0.1231914921897585,0.2959109619575073,0.540650406504065,,,
1.0,v9 (M),0.7431045860346965,0.4455310223847274,0.0556799008158415,-0.124974239768562,0.2935350531683189,0.540650406504065,,,
0.0,v9 (W),0.9616453716326676,0.7416359172371615,0.0687355791183026,-0.0926810278746549,0.3713040902694522,0.5447154471544715,,,
0.1,v9 (W),0.946621260697354,0.7122504698428674,0.0674288081465204,-0.0946700788577874,0.3633578645339703,0.5447154471544715,,,
0.2,v9 (W),1.004536079039863,0.7655131552654123,0.072731844141973,-0.0950105738114404,0.3958317452123761,0.5487804878048781,,,
0.3,v9 (W),1.002716932660494,0.7432259538241814,0.0724224279098215,-0.0974433515637882,0.3939203797929824,0.5528455284552846,,,
0.4,v9 (W),0.9986503707320676,0.7744169718308522,0.0716684639371902,-0.092545058468636,0.3892715485411466,0.5528455284552846,,,
0.5,v9 (W),1.0300929261406917,0.8145850449926032,0.0740510859328442,-0.0909065129393784,0.4040043652544625,0.5609756097560976,,,
0.6,v9 (W),1.0193169395611594,0.7852973169505449,0.0732766794909698,-0.0933107472918878,0.3992024006593364,0.5650406504065041,,,
0.7,v9 (W),1.0038888292746817,0.760362668537659,0.0721513390855672,-0.0948906910755229,0.3922474740903743,0.5650406504065041,,,
0.8,v9 (W),0.9905957960266404,0.7383542312450401,0.071231702900115,-0.0964736164374673,0.3865841485252705,0.5650406504065041,,,
0.9,v9 (W),0.9770329308662014,0.7169825747263632,0.070307477776615,-0.0980602322217495,0.3809109023818224,0.5650406504065041,,,
1.0,v9 (W),0.9631583001246652,0.6961320942219177,0.0693742239085331,-0.0996566951651241,0.3752008451133501,0.5650406504065041,,,
0.0,完整 (W),0.8471414845520594,0.3161427460030239,0.0404408656911947,-0.1279196382092788,0.3879527076432865,0.5407925407925408,,,
0.1,完整 (W),0.8240392232855669,0.3047867677476014,0.0392449872544999,-0.1287621098006438,0.3748157237014105,0.5407925407925408,,,
0.2,完整 (W),0.8208636651136637,0.3038892121510304,0.03878077785439,-0.1276148553608949,0.3697458096157917,0.5454545454545454,,,
0.3,完整 (W),0.818954790502976,0.3026036139947526,0.0387165619089535,-0.1279448100366208,0.3690457637579891,0.5454545454545454,,,
0.4,完整 (W),0.8250947922266899,0.3102186630154502,0.0391118454416501,-0.1260783121862084,0.3733599163435939,0.5477855477855478,,,
0.5,完整 (W),0.823,0.311305,0.039066,-0.125492,0.372863,0.545455,0.048093,1.372863,430.0
0.6,完整 (W),0.831,0.312103,0.039382,-0.126181,0.37631,0.547786,0.047965,1.37631,430.0
0.7,完整 (W),0.815,0.304682,0.038656,-0.126872,0.368382,0.547786,0.048069,1.368382,430.0
0.8,完整 (W),0.8,0.297949,0.038008,-0.127566,0.361344,0.547786,0.048185,1.361344,430.0
0.9,完整 (W),0.785,0.291243,0.037356,-0.128265,0.35429,0.547786,0.048318,1.35429,430.0
1.0,完整 (W),0.77,0.284527,0.036697,-0.128975,0.347188,0.547786,0.048468,1.347188,430.0
