,Sharpe,Calmar,年化,MaxDD,总收益,胜率
v10 (W),1.0300929261406917,0.8145850449926032,0.07405108593284426,-0.09090651293937846,0.4040043652544625,0.5609756097560976
v10 (M),0.7670666258887436,0.4957320549752196,0.05754603552737092,-0.11608294228673088,0.30443242940165827,0.540650406504065
基础风险平价,0.49008352054532706,0.5227606369936658,0.07556364056817899,-0.14454730371960767,0.41342098262446747,0.4048582995951417
中信多因子选股,0.3630783882481553,0.2403741219839966,0.06140759520455319,-0.25546674782504886,0.327212328964418,0.5263157894736842
等权基准,0.2015948778842322,0.1456950618762045,0.04033589690909167,-0.2768515033362259,0.20663112741921408,0.48582995951417
60/40股债,0.1287549024823292,0.07345556927737862,0.02771758273424907,-0.37733806989615115,0.13867683873289804,0.47368421052631576
