Sharpe,Sortino,Calmar,AnnRet,Vol,MaxDD,MaxDDDays,WinRate,PayoffRatio,Strategy
1.695042912925831,2.1039424150214256,1.4561465957246742,0.06538504648306565,0.038574272063828664,-0.044902791157868105,379,0.45494095711622123,1.0493796073661479,4策略 Vol-parity
1.2852575095283556,1.21839390610347,1.2853674886114759,0.024938651092742736,0.019403622159651374,-0.019401961939836232,457,0.35301429459291483,1.168998654370319,v1.0 locked
1.276355933215463,0.7269762848254258,0.8132188068543816,0.34243840252552515,0.2682938149257757,-0.42109011700075405,525,0.08576755748912368,1.066717437534127,DualMom
0.9769272852965503,1.1824699671112806,1.092016194783766,0.16321465920839318,0.16706940390025926,-0.14946175705820175,209,0.34555624611559976,1.1370998125021377,v7.10 TV-PR
0.9752243763488923,0.9619144491926729,0.582762104290793,0.05763090143527805,0.05909501734466516,-0.09889267165958471,775,0.3480422622747048,1.127143979569883,v3 (52 池)
0.9622183555499574,1.130946698980569,0.6549901253952615,0.11325640654944302,0.11770343591576067,-0.17291315114269412,317,0.346177750155376,1.1298748639797254,v9macro
0.8495057379900314,1.0254246579878057,0.9603069533713292,0.14174354948492085,0.16685414017366432,-0.14760233588573402,209,0.3449347420758235,1.1139308885008574,v7.10 TV-PR (标准化+CV)
0.8179356220842474,0.6595753342380776,0.4013717011131874,0.06530800564153205,0.079844921627347,-0.16271203341043494,418,0.37600994406463645,0.9558558564036802,v0.2 +TF
0.7806792578192846,0.7001481288808298,0.4022711025736971,0.02050516114395795,0.026265794740385665,-0.05097348781149735,819,0.35301429459291483,1.062325577656571,v0.1 +VT
0.7642896081052134,0.6643323355828867,0.4014089809522103,0.06531407151994473,0.08545722829055329,-0.16271203341043505,824,0.35301429459291483,1.015901203322183,v0.0 baseline
0.5902628285697403,0.7038903783431744,0.4590301535758999,0.08281776705968569,0.14030659403093457,-0.18041901259541526,563,0.3492852703542573,1.02228785823835,v5.1 量价 (逆波动)
0.5175913727230961,0.6194849025958998,0.3938673980329571,0.07643255255950265,0.14766968034529618,-0.19405656051051756,564,0.34990677439403356,1.005036190856432,v5 量价
0.16357501351804904,0.17518433110831347,0.06641699862268412,0.025728099589618525,0.157286244618159,-0.38737221077664485,1394,0.30950901180857676,1.1400783251659943,v4 style
-0.145018340496211,-0.14957468583580957,-0.06269022193563158,-0.023846996073156768,0.16444124233913596,-0.3803941880703843,1606,0.3238036047234307,0.9929934975583021,v4 factor
