date,pos,r_等权基准,r_银河因子配置,r_银河方案-动态仓位,仓位效应,选股效应,交互效应,合计超额
2021-08-01,0.2,-0.03269146117665152,-0.05642996751767732,-0.011285993503535463,0.026153168941321216,-0.023738506341025804,0.018990805072820645,0.021405467673116053
2021-08-08,0.2,0.012870038449659203,0.01005199916654244,0.0020103998333084886,-0.010296030759727362,-0.0028180392831167623,0.00225443142649341,-0.010859638616350715
2021-08-15,0.2,0.000330990793061175,-0.0019313139603727612,-0.00038626279207455217,-0.00026479263444894,-0.002262304753433936,0.001809843802747149,-0.0007172535851357271
2021-08-22,0.2,-0.03039254324600143,-0.04703907177767625,-0.009407814355535256,0.024314034596801145,-0.016646528531674823,0.013317222825339859,0.020984728890466174
2021-08-29,0.2,0.022768594858816587,0.021073253184617027,0.004214650636923406,-0.01821487588705327,-0.0016953416741995603,0.0013562733393596483,-0.01855394422189318
2021-09-05,0.2,0.0036926090099169574,0.005812849091731714,0.0011625698183463434,-0.002954087207933566,0.002120240081814757,-0.0016961920654518057,-0.002530039191570614
2021-09-12,0.2,0.027804363694256536,0.019652234317985805,0.003930446863597161,-0.022243490955405232,-0.00815212937627073,0.006521703501016585,-0.023873916830659377
2021-09-19,0.2,-0.025776986435494347,-0.024257955080910287,-0.004851591016182056,0.02062158914839548,0.0015190313545840606,-0.0012152250836672486,0.020925395419312293
2021-09-26,0.2,-0.002242455751118428,-0.007908992794324828,-0.0015817985588649657,0.0017939646008947423,-0.0056665370432064,0.004533229634565121,0.0006606571922534621
2021-10-03,0.2,-0.006547900823939187,0.0005166600201927338,0.00010333200403854693,0.005238320659151349,0.007064560844131921,-0.005651648675305537,0.006651232827977733
2021-10-10,0.2,0.002226162248273689,0.003887760949788509,0.000777552189957702,-0.0017809297986189515,0.00166159870151482,-0.0013292789612118561,-0.0014486100583159874
2021-10-17,0.2,0.010386706382926632,0.01121094547932011,0.002242189095864023,-0.008309365106341306,0.0008242390963934774,-0.000659391277114782,-0.00814451728706261
2021-10-24,0.2,0.0026381257498674757,0.010083460353347297,0.0020166920706694595,-0.002110500599893981,0.007445334603479821,-0.0059562676827838576,-0.0006214336791980162
2021-10-31,0.2,-0.010428380975174194,-0.013377192588870095,-0.0026754385177740194,0.008342704780139355,-0.0029488116136959005,0.0023590492909567207,0.007752942457400175
2021-11-07,0.24988744309017363,0.00035308292442515394,-0.001243392366296908,-0.0003107081391717755,-0.0002648519352417512,-0.0015964752907220619,0.0011975361623668842,-0.0006637910635969294
2021-11-14,0.27297930817182303,0.015808618284544985,0.012762462436762769,0.00348388816655638,-0.011493192602077464,-0.003046155847782216,0.002214618331871074,-0.012324730117988604
2021-11-21,0.2,0.0019357355518258115,0.001101991604076361,0.00022039832081527236,-0.0015485884414606493,-0.0008337439477494504,0.0006669951581995603,-0.0017153372310105392
2021-11-28,0.2,-0.007911013361354281,-0.013587843584243085,-0.002717568716848618,0.0063288106890834256,-0.005676830222888804,0.004541464178311043,0.005193444644505663
2021-12-05,0.4062979831930698,-0.0014555376290597273,-0.01170397888730508,-0.004755303017246324,0.0008641556259111376,-0.010248441258245353,0.00608452024414762,-0.0032997653881865967
2021-12-12,1.0,0.01109923293393593,0.015444923170375612,0.015444923170375612,0.0,0.004345690236439683,0.0,0.004345690236439683
2021-12-19,0.30301313090101806,-0.015453014190151488,-0.022878800917430185,-0.006932577097251606,0.010770547978535825,-0.0074257867272786975,0.005175675841642756,0.008520437092899881
2021-12-26,0.4536026295529501,-0.004357915845674152,-0.0041129479354362845,-0.0018656439987282775,0.0023811537587058885,0.0002449679102378673,-0.00013384982199787966,0.0024922718469458744
2022-01-02,0.5240140862157696,0.008627796519008711,0.008479089009878694,0.004443162079453759,-0.004106709610044763,-0.00014870750913001732,7.078267961982808e-05,-0.004184634439554952
2022-01-09,0.20104892026889642,-0.02850143734748223,-0.025186452698282492,-0.005063709120393326,0.02277125414265933,0.003314984649199739,-0.0026485105647701653,0.023437728227088905
2022-01-16,0.33811955027799,-0.004607752566704638,-0.00040672366804707854,-0.00013752122372749214,0.0030497813410582113,0.004201028898657559,-0.0027805788967386253,0.004470231342977146
2022-01-23,0.2,-0.0034694840144783405,-0.008266454995435905,-0.0016532909990871814,0.0027755872115826728,-0.0047969709809575645,0.0038375767847660517,0.001816193015391159
2022-01-30,0.42894740902272716,-0.046580933638138956,-0.049049882822578834,-0.02103982014961356,0.02660016284419965,-0.002468949184439878,0.001409899828765617,0.025541113488525398
2022-02-13,0.2406710967982043,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
2022-02-20,0.4150272554859122,0.010342645745090735,0.007808115000686584,0.0032405805392533345,-0.0060501658670426796,-0.0025345307444041513,0.0014826314056094303,-0.0071020652058374
2022-02-27,0.46956471088241136,-0.012801369919248542,-0.021579448580844356,-0.010132947533866043,0.006790298354217803,-0.008778078661595815,0.004656202692760511,0.0026684223853824986
2022-03-06,0.5638551038002593,-0.010695856810450252,-0.01739904482380523,-0.009810540225152063,0.0046649433583611155,-0.006703188013354979,0.0029235612402920535,0.000885316585298189
2022-03-13,0.5962942784847896,-0.03649814131925011,-0.0377978198360313,-0.02253862370742434,0.01473450847525198,-0.0012996785167811928,0.00052468765335497,0.013959517611825772
2022-03-20,0.5379522668304416,0.004539200147979931,0.008676152794957261,0.004667356063414531,-0.002097327138777051,0.00413695264697733,-0.00191146959276568,0.0001281559154346001
2022-03-27,0.36703478209229723,-0.0038330002371383173,-0.004758790505862871,-0.0017466416363422724,0.0024261558303405313,-0.000925790268724554,0.0005859930391800681,0.002086358600796045
2022-04-03,0.4144842122737072,0.006747239836643019,0.010148030954408478,0.004206198616267192,-0.003950615447930261,0.003400791117765459,-0.0019912168902110226,-0.002541041220375827
2022-04-10,0.2,-0.020311701055176927,-0.021688492087151776,-0.004337698417430355,0.016249360844141542,-0.0013767910319748486,0.0011014328255798788,0.015974002637746572
