Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years,upper,lower,hold_pct,n_bull
-2.2222991339810707,0.027048186293595528,-0.020356631535645597,0.0005506099620862237,0.008734778590691642,0.0069767441860465115,0.004562243290308965,430,8.26923076923077,45,25,0.011627906976744186,5
-0.793709307723677,-0.06749214286796118,-0.10267796929301265,-0.006929956172916141,0.03325585612924594,0.053488372093023255,-0.055882727244268016,430,8.26923076923077,40,20,0.11395348837209303,49
0.09261087992180243,0.23014391033827408,-0.10267796929301265,0.023630709358687163,0.04950564384664045,0.13488372093023257,0.21304619984479256,430,8.26923076923077,35,15,0.2534883720930233,109
0.327591277251316,0.20249646133261004,-0.27685150333622577,0.056061449740199,0.13161973829624227,0.4418604651162791,0.5699700762485815,430,8.26923076923077,30,10,0.8697674418604651,374
0.47248515756695186,0.29367764805334534,-0.2768515033362262,0.08130509835981581,0.14534868618839408,0.5186046511627908,0.908648341267615,430,8.26923076923077,25,5,1.0,430
0.47248515756695186,0.29367764805334534,-0.2768515033362262,0.08130509835981581,0.14534868618839408,0.5186046511627908,0.908648341267615,430,8.26923076923077,20,0,1.0,430
-0.793709307723677,-0.06749214286796118,-0.10267796929301265,-0.006929956172916141,0.03325585612924594,0.053488372093023255,-0.055882727244268016,430,8.26923076923077,50,20,0.11395348837209303,49
0.09261087992180243,0.23014391033827408,-0.10267796929301265,0.023630709358687163,0.04950564384664045,0.13488372093023257,0.21304619984479256,430,8.26923076923077,45,15,0.2534883720930233,109
0.09261087992180243,0.23014391033827408,-0.10267796929301265,0.023630709358687163,0.04950564384664045,0.13488372093023257,0.21304619984479256,430,8.26923076923077,40,15,0.2534883720930233,109
0.09261087992180243,0.23014391033827408,-0.10267796929301265,0.023630709358687163,0.04950564384664045,0.13488372093023257,0.21304619984479256,430,8.26923076923077,35,10,0.2534883720930233,109
0.47248515756695186,0.29367764805334534,-0.2768515033362262,0.08130509835981581,0.14534868618839408,0.5186046511627908,0.908648341267615,430,8.26923076923077,30,5,1.0,430
0.47248515756695186,0.29367764805334534,-0.2768515033362262,0.08130509835981581,0.14534868618839408,0.5186046511627908,0.908648341267615,430,8.26923076923077,25,0,1.0,430
-0.793709307723677,-0.06749214286796118,-0.10267796929301265,-0.006929956172916141,0.03325585612924594,0.053488372093023255,-0.055882727244268016,430,8.26923076923077,35,20,0.11395348837209303,49
0.327591277251316,0.20249646133261004,-0.27685150333622577,0.056061449740199,0.13161973829624227,0.4418604651162791,0.5699700762485815,430,8.26923076923077,30,15,0.8697674418604651,374
0.327591277251316,0.20249646133261004,-0.27685150333622577,0.056061449740199,0.13161973829624227,0.4418604651162791,0.5699700762485815,430,8.26923076923077,28,12,0.8697674418604651,374
-0.793709307723677,-0.06749214286796118,-0.10267796929301265,-0.006929956172916141,0.03325585612924594,0.053488372093023255,-0.055882727244268016,430,8.26923076923077,32,18,0.11395348837209303,49
