pool,n_etfs,n_fired,TP,FP,FN,precision,recall,f1,sharpe_baseline,sharpe_overlay,calmar_baseline,calmar_overlay,diff_final
all_44,38,9,3,3,0,0.5,1.0,0.6666666666666666,1.2699174911259847,1.2787484763598482,2.2110719067243116,2.209186466992307,-0.0022731083179547973
a_only,24,1,0,1,0,0.0,0.0,0.0,1.2831448235885863,1.2731574036201463,2.3302691472782,2.309621227055578,-0.0023412835684379907
