fold,test_start,test_end,n_days,n_fired_v3,TP,FP,FN,precision,recall,f1,hit_rate_event,n_event_hit,n_event_total,sharpe_baseline,sharpe_overlay,calmar_baseline,calmar_overlay,maxdd_baseline,maxdd_overlay,cagr_overlay,diff_final
2022 熊市,2022-01-01,2022-12-31,242,10,3,5,1,0.375,0.75,0.5,1.0,4,4,-0.9453097293674904,-0.9869271858247908,-0.7367416201168047,-0.7384871520424603,-0.2031372220465022,-0.20407701329625605,-0.15070825234648344,-0.0011793639705041103
2023 震荡,2023-01-01,2023-12-31,242,2,0,1,1,0.0,0.0,0.0,1.0,2,2,-0.055241511560307884,-0.04084481704709563,0.07814925740757567,0.0949296881892954,-0.09728973099373106,-0.09728973099373162,0.00923568382725537,0.0015494649513303482
2024 多事件,2024-01-01,2024-12-31,242,1,1,0,3,1.0,0.25,0.4,1.0,3,3,0.8287829603730614,0.8060867558658423,1.4438748891738873,1.4006891080243609,-0.1197126277409215,-0.11971262774092206,0.16768017376968447,-0.004215961105728305
2025+ 近况,2025-01-01,2026-05-06,321,8,3,3,0,0.5,1.0,0.6666666666666666,0.0,0,0,1.6462424045087014,1.672631658823095,2.7024697034845895,2.7001327599846845,-0.11584790535221501,-0.11584790535221501,0.3128047244171208,-0.00026180869796965656
