asset,asset_name,version,start_date,ann_return,vol,sharpe,max_drawdown,calmar,n_windows,mean_position,position_std,total_turnover,cost_bp
511260,国债,v8_prob_2state,2018-01-01,0.0226,0.0115,1.9668,-0.0117,1.9262,14,0.5,0.0,0.5,10
511260,国债,v8_prob_2state,2018-01-01,0.0226,0.0115,1.9668,-0.0117,1.9262,14,0.5,0.0,0.5,20
511260,国债,v8_prob_3state,2018-01-01,0.0241,0.0123,1.9679,-0.0125,1.9276,14,0.5333333333333332,1.1102230246251565e-16,0.4667,0
511260,国债,v8_prob_3state,2018-01-01,0.0241,0.0123,1.9679,-0.0125,1.9276,14,0.5333333333333332,1.1102230246251565e-16,0.4667,10
511260,国债,v8_prob_3state,2018-01-01,0.0241,0.0123,1.9679,-0.0125,1.9276,14,0.5333333333333332,1.1102230246251565e-16,0.4667,20
511260,国债,v8_uniform,2018-01-01,0.0456,0.023,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,0
511260,国债,v8_uniform,2018-01-01,0.0456,0.023,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,10
511260,国债,v8_uniform,2018-01-01,0.0456,0.023,1.983,-0.0234,1.9482,14,1.0,0.0,0.0,20
511260,国债,v8_method_b,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,0
511260,国债,v8_method_b,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,10
511260,国债,v8_method_b,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,20
511260,国债,v8_prob_2state,2019-01-01,0.0248,0.0121,2.0567,-0.0119,2.0785,10,0.5,0.0,0.5,0
511260,国债,v8_prob_2state,2019-01-01,0.0248,0.0121,2.0567,-0.0119,2.0785,10,0.5,0.0,0.5,10
511260,国债,v8_prob_2state,2019-01-01,0.0248,0.0121,2.0567,-0.0119,2.0785,10,0.5,0.0,0.5,20
511260,国债,v8_prob_3state,2019-01-01,0.0265,0.0129,2.058,-0.0127,2.0803,10,0.5333333333333332,1.1102230246251565e-16,0.4667,0
511260,国债,v8_prob_3state,2019-01-01,0.0265,0.0129,2.058,-0.0127,2.0803,10,0.5333333333333332,1.1102230246251565e-16,0.4667,10
511260,国债,v8_prob_3state,2019-01-01,0.0265,0.0129,2.058,-0.0127,2.0803,10,0.5333333333333332,1.1102230246251565e-16,0.4667,20
511260,国债,v8_uniform,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,0
511260,国债,v8_uniform,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,10
511260,国债,v8_uniform,2019-01-01,0.05,0.0241,2.0758,-0.0238,2.1048,10,1.0,0.0,0.0,20
511260,国债,v8_method_b,2020-01-01,0.0428,0.0254,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,0
511260,国债,v8_method_b,2020-01-01,0.0428,0.0254,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,10
511260,国债,v8_method_b,2020-01-01,0.0428,0.0254,1.6832,-0.0225,1.9057,6,1.0,0.0,0.0,20
511260,国债,v8_prob_2state,2020-01-01,0.0213,0.0127,1.6722,-0.0113,1.8849,6,0.5,0.0,0.5,0
