factor_idx,factor_name,ic_good,ic_bad,ic_diff
10,f3_amt_vol,0.004879142426480045,-0.031047929332136136,0.03592707175861618
12,f5_turnover,0.04312522312068299,0.018954130046466174,0.024171093074216814
16,f9_pv_corr,0.01723174011575116,-0.0007268788744503777,0.017958618990201538
11,f4_vol_vol,0.04208063374569712,0.025021078988061832,0.01705955475763529
13,f6_ls_total,0.017062054385410162,0.015493890571599675,0.001568163813810487
1,宏观通胀因子_生活端,-2.5733465864686785e-17,-4.8940661869052147e-17,2.3207196004365362e-17
0,宏观增长因子,-2.015329825826296e-18,-1.3728907281259667e-17,1.1713577455433371e-17
2,宏观通胀因子_生产端,-7.152635528621406e-18,-1.8286908559109475e-17,1.1134273030488069e-17
8,f1_second_mom,5.423117011759802e-18,-4.5957402787319914e-18,1.0018857290491794e-17
4,信用利差因子,2.2096257101802684e-17,2.4663796681128204e-17,-2.5675395793255195e-18
5,期限利差因子_债,-5.680015209918644e-18,2.1601553433043028e-17,-2.7281568642961674e-17
6,期限利差因子_股,-4.0706117201892153e-17,-9.010412018414513e-19,-3.9805076000050703e-17
7,宏观汇率因子,-2.130736267598601e-17,1.9082725126108845e-17,-4.0390087802094855e-17
3,无风险收益率,-4.0416408048053286e-17,1.814880508224429e-17,-5.856521313029758e-17
17,f10_first_div,-0.007594931345012678,-0.005043227077634226,-0.002551704267378452
18,f11_vol_range,-0.02287469500560919,-0.01864458667562995,-0.004230108329979242
15,f8_pv_rankcov,-0.006580074567425514,0.002585283691763116,-0.009165358259188629
9,f2_mom_term,0.024936385418854682,0.038608620875576365,-0.013672235456721683
19,factor_19,-3.130729155065454e-05,0.015484055077331593,-0.015515362368882247
14,f7_ls_change,-0.01800725425125645,0.016599908674711235,-0.03460716292596769
