date,vol_60,ret_60,rsi_60,bear_vol,bear_trend,bear_combo
2021-06-01,0.15961534018806386,0.03452848106585371,54.01405259759932,False,False,False
2021-06-02,0.14968780385357575,0.05397640340722876,56.24713429498244,False,False,False
2021-06-03,0.14959643714363732,0.054883744892706865,56.35655446960616,False,False,False
2021-06-04,0.1398857007608463,0.0827566961350239,59.794176557322885,False,False,False
2021-06-07,0.13299155991460077,0.10885025230973122,63.10817882752994,False,False,False
2021-06-08,0.13357645858029193,0.09668848014800813,61.73829895703988,False,False,False
2021-06-09,0.12762624912531115,0.07581977442959276,59.797879798584084,False,False,False
2021-06-10,0.1280205546288782,0.08294856147428953,60.493761856688835,False,False,False
2021-06-11,0.12250093618482519,0.09870620069271396,62.80253987154276,False,False,False
2021-06-15,0.12282166998663549,0.08687436899884204,61.39717263924421,False,False,False
2021-06-16,0.1271538198848861,0.06228052484229485,58.1569113802146,False,False,False
2021-06-17,0.12732665757287676,0.0629995703728281,58.23150941444326,False,False,False
2021-06-18,0.12097098072011982,0.09022839046329989,61.89313974016306,False,False,False
2021-06-21,0.1205632658830091,0.08216949975770804,61.065811589180285,False,False,False
2021-06-22,0.11980179416693507,0.09364147815753077,62.55188879287045,False,False,False
2021-06-23,0.11821533497669535,0.11549052494253798,65.31750270851846,False,False,False
2021-06-24,0.11855308438266457,0.11224086584538995,64.80225625366064,False,False,False
2021-06-25,0.11628743367913502,0.10712647938901809,64.34549538280503,False,False,False
2021-06-28,0.11633775717861972,0.10875470808007681,64.4906327389245,False,False,False
2021-06-29,0.11755601486665158,0.09511776543811967,62.70912230044518,False,False,False
2021-06-30,0.11724787366984574,0.1120458851170294,64.72748117525343,False,False,False
2021-07-01,0.11457461949367774,0.09147980386300092,62.54278224384012,False,False,False
2021-07-02,0.11792583410760274,0.06044967413384783,58.401349415207655,False,False,False
2021-07-05,0.11830960673015752,0.06749526577683418,59.189571276530145,False,False,False
2021-07-06,0.11833571028934718,0.06734144540059162,59.16627033320972,False,False,False
2021-07-07,0.11896975496834754,0.07181751388568047,59.63205735738688,False,False,False
2021-07-08,0.11868319586108121,0.0729982161917595,59.80950505633697,False,False,False
2021-07-09,0.11488404840203167,0.08855847128305938,62.147643613800476,False,False,False
2021-07-12,0.11706135918679428,0.10333044452557294,63.60058792951273,False,False,False
2021-07-13,0.11584953722100652,0.09712282968189179,63.02906270874889,False,False,False
2021-07-14,0.11687588289115687,0.09232365698694589,62.27854448781024,False,False,False
2021-07-15,0.1171783937558974,0.09389835318443396,62.42734709278962,False,False,False
2021-07-16,0.11423455529460506,0.06950869163881768,59.600899552659726,False,False,False
2021-07-19,0.11397241738133879,0.07112807080687067,59.85289094953143,False,False,False
2021-07-20,0.1139711713094403,0.07117465759519104,59.857788783689706,False,False,False
2021-07-21,0.11501630289510835,0.07592924989815653,60.35380124437859,False,False,False
2021-07-22,0.11501957082901107,0.0759697461052311,60.357947826605404,False,False,False
2021-07-23,0.11585784384951099,0.07202111977887271,59.75267658810455,False,False,False
2021-07-26,0.12560729144907262,0.04517328877014726,55.98336942415712,False,False,False
2021-07-27,0.13499602574162137,0.012894902287162502,51.85895657537845,False,False,False
2021-07-28,0.13472102555051774,0.005820804474118368,50.99351584551362,False,False,False
2021-07-29,0.14298904425608036,0.03727080620676548,54.67136197107259,False,False,False
2021-07-30,0.14362383571089157,0.03390844081688438,54.251918292996194,False,False,False
2021-08-02,0.14429678774098995,0.057235148642392764,56.849882049004634,False,False,False
2021-08-03,0.14516339408759085,0.04847043212263502,55.79929109245897,False,False,False
2021-08-04,0.14687163837553674,0.06453626017827196,57.4128867789769,False,False,False
2021-08-05,0.14687673307892563,0.05042714253549008,55.91804653794571,False,False,False
2021-08-06,0.1447962573574076,0.062439996114215246,57.39167228265223,False,False,False
2021-08-09,0.14204701283890087,0.04854901018790003,56.0240648460972,False,False,False
2021-08-10,0.14177525010888806,0.04755477863507096,55.92184702075982,False,False,False
2021-08-11,0.14168904046156164,0.04212881219120446,55.3253681054128,False,False,False
2021-08-12,0.14182509763601217,0.041156181788942536,55.20007117046311,False,False,False
2021-08-13,0.14227969104779373,0.035069678938251414,54.44587701190427,False,False,False
2021-08-16,0.14213985168272456,0.036348502426964746,54.60805752994586,False,False,False
2021-08-17,0.1465588272141002,0.013161474070291446,51.83211184418059,False,False,False
2021-08-18,0.1422691195647969,0.0018380601802039376,50.508259227429704,False,False,False
2021-08-19,0.1426589151598527,-0.0033277353317232583,49.88713616139629,False,True,False
2021-08-20,0.1444501663402205,-0.020049158990948057,47.91371834968912,False,True,False
2021-08-23,0.1481235047883829,-0.003795689036416361,49.86065256716094,False,True,False
2021-08-24,0.15030087476364562,0.0026366764220402406,50.589357701406605,False,False,False
2021-08-25,0.14980267561144323,-0.0010217520153703585,50.180924255357446,False,True,False
2021-08-26,0.15080803221293787,-0.0041716716797550735,49.83078151537547,False,True,False
2021-08-27,0.15075212447321595,-0.0004895834348503936,50.24352565174009,False,True,False
2021-08-30,0.15076141373495544,-0.0002476549359353708,50.27052295525963,False,True,False
2021-08-31,0.15056469744871,-0.0027225549218095058,49.992244496116555,False,True,False
2021-09-01,0.1503666520705193,0.007037139400618342,51.09093514969442,False,False,False
2021-09-02,0.15035466060418762,0.006120914519413434,50.99015011706811,False,False,False
2021-09-03,0.14998161687809894,-0.003946314342096469,49.850064333083374,False,True,False
2021-09-06,0.15422398613494004,0.016473410423137214,52.1050728050372,False,False,False
2021-09-07,0.1552617018694242,0.03211829316185755,53.74303179356443,False,False,False
2021-09-08,0.15188974336480016,0.04392899808395745,55.091545581167146,False,False,False
2021-09-09,0.1511773812900518,0.03099262857577112,53.74357361131254,False,False,False
2021-09-10,0.15123886943396517,0.03135810057373711,53.78075394529153,False,False,False
2021-09-13,0.15208052406533762,0.024581296657883334,52.99683487382553,False,False,False
